"Nama_Startup","Kategori_Layanan","Pendapatan_Tahunan_Miliar_IDR","Biaya_Akuisisi_Pelanggan_Juta_IDR","Nilai_Pelanggan_Juta_IDR","Tingkat_Churn_Persen"
"Startup_100","CRM",6.39,8.27,23.96,10.47
"Startup_101","Proyek",6.5,8.38,24.29,10.36
"Startup_102","Keuangan",6.61,8.49,24.62,10.25
"Startup_103","SDM",6.72,8.6,24.95,10.14
"Startup_104","Pemasaran",6.83,8.71,25.28,10.03
"Startup_105","CRM",6.94,8.82,25.61,9.92
"Startup_106","Proyek",7.05,8.93,25.94,9.81
"Startup_107","Keuangan",7.16,9.04,26.27,9.7
"Startup_108","SDM",7.27,9.15,26.6,9.59
"Startup_109","Pemasaran",7.38,9.26,26.93,9.48
"Startup_110","CRM",7.49,9.37,27.26,9.37
"Startup_111","Proyek",7.6,9.48,27.59,9.26
"Startup_112","Keuangan",7.71,9.59,27.92,9.15
"Startup_113","SDM",7.82,9.7,28.25,9.04
"Startup_114","Pemasaran",7.93,9.81,28.58,8.93
"Startup_115","CRM",8.04,9.92,28.91,8.82
"Startup_116","Proyek",8.15,10.03,29.24,8.71
"Startup_117","Keuangan",8.26,10.14,29.57,8.6
"Startup_118","SDM",8.37,10.25,29.9,8.49
"Startup_119","Pemasaran",8.48,10.36,30.23,8.38
"Startup_120","CRM",8.59,10.47,30.56,8.27
"Startup_121","Proyek",8.7,10.58,30.89,8.16
"Startup_122","Keuangan",8.81,10.69,31.22,8.05
"Startup_123","SDM",8.92,10.8,31.55,7.94
"Startup_124","Pemasaran",9.03,10.91,31.88,7.83
"Startup_125","CRM",9.14,11.02,32.21,7.72
"Startup_126","Proyek",9.25,11.13,32.54,7.61
"Startup_127","Keuangan",9.36,11.24,32.87,7.5
"Startup_128","SDM",9.47,11.35,33.2,7.39
"Startup_129","Pemasaran",9.58,11.46,33.53,7.28
"Startup_130","CRM",9.69,11.57,33.86,7.17
"Startup_131","Proyek",9.8,11.68,34.19,7.06
"Startup_132","Keuangan",9.91,11.79,34.52,6.95
"Startup_133","SDM",10.02,11.9,34.85,6.84
"Startup_134","Pemasaran",10.13,12.01,35.18,6.73
"Startup_135","CRM",10.24,12.12,35.51,6.62
"Startup_136","Proyek",10.35,12.23,35.84,6.51
"Startup_137","Keuangan",10.46,12.34,36.17,6.4
"Startup_138","SDM",10.57,12.45,36.5,6.29
"Startup_139","Pemasaran",10.68,12.56,36.83,6.18
"Startup_140","CRM",10.79,12.67,37.16,6.07
"Startup_141","Proyek",10.9,12.78,37.49,5.96
"Startup_142","Keuangan",11.01,12.89,37.82,5.85
"Startup_143","SDM",11.12,13.0,38.15,5.74
"Startup_144","Pemasaran",11.23,13.11,38.48,5.63
"Startup_145","CRM",11.34,13.22,38.81,5.52
"Startup_146","Proyek",11.45,13.33,39.14,5.41
"Startup_147","Keuangan",11.56,13.44,39.47,5.3
"Startup_148","SDM",11.67,13.55,39.8,5.19
"Startup_149","Pemasaran",11.78,13.66,40.13,5.08
"Startup_150","CRM",11.89,13.77,40.46,4.97
"Startup_151","Proyek",12.0,13.88,40.79,4.86
"Startup_152","Keuangan",12.11,13.99,41.12,4.75
"Startup_153","SDM",12.22,14.1,41.45,4.64
"Startup_154","Pemasaran",12.33,14.21,41.78,4.53
"Startup_155","CRM",12.44,14.32,42.11,4.42
"Startup_156","Proyek",12.55,14.43,42.44,4.31
"Startup_157","Keuangan",12.66,14.54,42.77,4.2
"Startup_158","SDM",12.77,14.65,43.1,4.09
"Startup_159","Pemasaran",12.88,14.76,43.43,3.98
"Startup_160","CRM",12.99,14.87,43.76,3.87
"Startup_161","Proyek",13.1,14.98,44.09,3.76
"Startup_162","Keuangan",13.21,15.09,44.42,3.65
"Startup_163","SDM",13.32,15.2,44.75,3.54
"Startup_164","Pemasaran",13.43,15.31,45.08,3.43
"Startup_165","CRM",13.54,15.42,45.41,3.32
"Startup_166","Proyek",13.65,15.53,45.74,3.21
"Startup_167","Keuangan",13.76,15.64,46.07,3.1
"Startup_168","SDM",13.87,15.75,46.4,2.99
"Startup_169","Pemasaran",13.98,15.86,46.73,2.88
"Startup_170","CRM",14.09,15.97,47.06,2.77
"Startup_171","Proyek",14.2,16.08,47.39,2.66
"Startup_172","Keuangan",14.31,16.19,47.72,2.55
"Startup_173","SDM",14.42,16.3,48.05,2.44
"Startup_174","Pemasaran",14.53,16.41,48.38,2.33
"Startup_175","CRM",14.64,16.52,48.71,2.22
"Startup_176","Proyek",14.75,16.63,49.04,2.11
"Startup_177","Keuangan",14.86,16.74,49.37,2.0
"Startup_178","SDM",14.97,16.85,49.7,1.89
"Startup_179","Pemasaran",15.08,16.96,50.03,1.78
"Startup_180","CRM",15.19,17.07,50.36,1.67
"Startup_181","Proyek",15.3,17.18,50.69,1.56
"Startup_182","Keuangan",15.41,17.29,51.02,1.45
"Startup_183","SDM",15.52,17.4,51.35,1.34
"Startup_184","Pemasaran",15.63,17.51,51.68,1.23
"Startup_185","CRM",15.74,17.62,52.01,1.12
"Startup_186","Proyek",15.85,17.73,52.34,1.01
"Startup_187","Keuangan",15.96,17.84,52.67,0.9
"Startup_188","SDM",16.07,17.95,53.0,0.79
"Startup_189","Pemasaran",16.18,18.06,53.33,0.68
"Startup_190","CRM",16.29,18.17,53.66,0.57
"Startup_191","Proyek",16.4,18.28,53.99,0.46
"Startup_192","Keuangan",16.51,18.39,54.32,0.35
"Startup_193","SDM",16.62,18.5,54.65,0.24
"Startup_194","Pemasaran",16.73,18.61,54.98,0.13
"Startup_195","CRM",16.84,18.72,55.31,0.02
"Startup_196","Proyek",16.95,18.83,55.64,-0.09
"Startup_197","Keuangan",17.06,18.94,55.97,-0.2
"Startup_198","SDM",17.17,19.05,56.3,-0.31
"Startup_199","Pemasaran",17.28,19.16,56.63,-0.42
"Startup_200","CRM",17.39,19.27,56.96,-0.53
"Startup_201","Proyek",17.5,19.38,57.29,-0.64
"Startup_202","Keuangan",17.61,19.49,57.62,-0.75
"Startup_203","SDM",17.72,19.6,57.95,-0.86
"Startup_204","Pemasaran",17.83,19.71,58.28,-0.97
"Startup_205","CRM",17.94,19.82,58.61,-1.08
"Startup_206","Proyek",18.05,19.93,58.94,-1.19
"Startup_207","Keuangan",18.16,20.04,59.27,-1.3
"Startup_208","SDM",18.27,20.15,59.6,-1.41
"Startup_209","Pemasaran",18.38,20.26,59.93,-1.52
"Startup_210","CRM",18.49,20.37,60.26,-1.63
"Startup_211","Proyek",18.6,20.48,60.59,-1.74
"Startup_212","Keuangan",18.71,20.59,60.92,-1.85
"Startup_213","SDM",18.82,20.7,61.25,-1.96
"Startup_214","Pemasaran",18.93,20.81,61.58,-2.07
"Startup_215","CRM",19.04,20.92,61.91,-2.18
"Startup_216","Proyek",19.15,21.03,62.24,-2.29
"Startup_217","Keuangan",19.26,21.14,62.57,-2.4
"Startup_218","SDM",19.37,21.25,62.9,-2.51
"Startup_219","Pemasaran",19.48,21.36,63.23,-2.62
"Startup_220","CRM",19.59,21.47,63.56,-2.73
"Startup_221","Proyek",19.7,21.58,63.89,-2.84
"Startup_222","Keuangan",19.81,21.69,64.22,-2.95
"Startup_223","SDM",19.92,21.8,64.55,-3.06
"Startup_224","Pemasaran",20.03,21.91,64.88,-3.17
"Startup_225","CRM",20.14,22.02,65.21,-3.28
"Startup_226","Proyek",20.25,22.13,65.54,-3.39
"Startup_227","Keuangan",20.36,22.24,65.87,-3.5
"Startup_228","SDM",20.47,22.35,66.2,-3.61
"Startup_229","Pemasaran",20.58,22.46,66.53,-3.72
"Startup_230","CRM",20.69,22.57,66.86,-3.83
"Startup_231","Proyek",20.8,22.68,67.19,-3.94
"Startup_232","Keuangan",20.91,22.79,67.52,-4.05
"Startup_233","SDM",21.02,22.9,67.85,-4.16
"Startup_234","Pemasaran",21.13,23.01,68.18,-4.27
"Startup_235","CRM",21.24,23.12,68.51,-4.38
"Startup_236","Proyek",21.35,23.23,68.84,-4.49
"Startup_237","Keuangan",21.46,23.34,69.17,-4.6
"Startup_238","SDM",21.57,23.45,69.5,-4.71
"Startup_239","Pemasaran",21.68,23.56,69.83,-4.82
"Startup_240","CRM",21.79,23.67,70.16,-4.93
"Startup_241","Proyek",21.9,23.78,70.49,-5.04
"Startup_242","Keuangan",22.01,23.89,70.82,-5.15
"Startup_243","SDM",22.12,24.0,71.15,-5.26
"Startup_244","Pemasaran",22.23,24.11,71.48,-5.37
"Startup_245","CRM",22.34,24.22,71.81,-5.48
"Startup_246","Proyek",22.45,24.33,72.14,-5.59
"Startup_247","Keuangan",22.56,24.44,72.47,-5.7
"Startup_248","SDM",22.67,24.55,72.8,-5.81
"Startup_249","Pemasaran",22.78,24.66,73.13,-5.92
"Startup_250","CRM",22.89,24.77,73.46,-6.03
"Startup_251","Proyek",23.0,24.88,73.79,-6.14
"Startup_252","Keuangan",23.11,24.99,74.12,-6.25
"Startup_253","SDM",23.22,25.1,74.45,-6.36
"Startup_254","Pemasaran",23.33,25.21,74.78,-6.47
"Startup_255","CRM",23.44,25.32,75.11,-6.58
"Startup_256","Proyek",23.55,25.43,75.44,-6.69
"Startup_257","Keuangan",23.66,25.54,75.77,-6.8
"Startup_258","SDM",23.77,25.65,76.1,-6.91
"Startup_259","Pemasaran",23.88,25.76,76.43,-7.02
"Startup_260","CRM",23.99,25.87,76.76,-7.13
"Startup_261","Proyek",24.1,25.98,77.09,-7.24
"Startup_262","Keuangan",24.21,26.09,77.42,-7.35
"Startup_263","SDM",24.32,26.2,77.75,-7.46
"Startup_264","Pemasaran",24.43,26.31,78.08,-7.57
"Startup_265","CRM",24.54,26.42,78.41,-7.68
"Startup_266","Proyek",24.65,26.53,78.74,-7.79
"Startup_267","Keuangan",24.76,26.64,79.07,-7.9
"Startup_268","SDM",24.87,26.75,79.4,-8.01
"Startup_269","Pemasaran",24.98,26.86,79.73,-8.12
"Startup_270","CRM",25.09,26.97,80.06,-8.23
"Startup_271","Proyek",25.2,27.08,80.39,-8.34
"Startup_272","Keuangan",25.31,27.19,80.72,-8.45
"Startup_273","SDM",25.42,27.3,81.05,-8.56
"Startup_274","Pemasaran",25.53,27.41,81.38,-8.67
"Startup_275","CRM",25.64,27.52,81.71,-8.78
"Startup_276","Proyek",25.75,27.63,82.04,-8.89
"Startup_277","Keuangan",25.86,27.74,82.37,-9.0
"Startup_278","SDM",25.97,27.85,82.7,-9.11
"Startup_279","Pemasaran",26.08,27.96,83.03,-9.22
"Startup_280","CRM",26.19,28.07,83.36,-9.33
"Startup_281","Proyek",26.3,28.18,83.69,-9.44
"Startup_282","Keuangan",26.41,28.29,84.02,-9.55
"Startup_283","SDM",26.52,28.4,84.35,-9.66
"Startup_284","Pemasaran",26.63,28.51,84.68,-9.77
"Startup_285","CRM",26.74,28.62,85.01,-9.88
"Startup_286","Proyek",26.85,28.73,85.34,-9.99
"Startup_287","Keuangan",26.96,28.84,85.67,-10.1
"Startup_288","SDM",27.07,28.95,86.0,-10.21
"Startup_289","Pemasaran",27.18,29.06,86.33,-10.32
"Startup_290","CRM",27.29,29.17,86.66,-10.43
"Startup_291","Proyek",27.4,29.28,86.99,-10.54
"Startup_292","Keuangan",27.51,29.39,87.32,-10.65
"Startup_293","SDM",27.62,29.5,87.65,-10.76
"Startup_294","Pemasaran",27.73,29.61,87.98,-10.87
"Startup_295","CRM",27.84,29.72,88.31,-10.98
"Startup_296","Proyek",27.95,29.83,88.64,-11.09
"Startup_297","Keuangan",28.06,29.94,88.97,-11.2
"Startup_298","SDM",28.17,30.05,89.3,-11.31
"Startup_299","Pemasaran",28.28,30.16,89.63,-11.42
"Startup_300","CRM",28.39,30.27,89.96,-11.53
"Startup_301","Proyek",28.5,30.38,90.29,-11.64
"Startup_302","Keuangan",28.61,30.49,90.62,-11.75
"Startup_303","SDM",28.72,30.6,90.95,-11.86
"Startup_304","Pemasaran",28.83,30.71,91.28,-11.97
"Startup_305","CRM",28.94,30.82,91.61,-12.08
"Startup_306","Proyek",29.05,30.93,91.94,-12.19
"Startup_307","Keuangan",29.16,31.04,92.27,-12.3
"Startup_308","SDM",29.27,31.15,92.6,-12.41
"Startup_309","Pemasaran",29.38,31.26,92.93,-12.52
"Startup_310","CRM",29.49,31.37,93.26,-12.63
"Startup_311","Proyek",29.6,31.48,93.59,-12.74
"Startup_312","Keuangan",29.71,31.59,93.92,-12.85
"Startup_313","SDM",29.82,31.7,94.25,-12.96
"Startup_314","Pemasaran",29.93,31.81,94.58,-13.07
"Startup_315","CRM",30.04,31.92,94.91,-13.18
"Startup_316","Proyek",30.15,32.03,95.24,-13.29
"Startup_317","Keuangan",30.26,32.14,95.57,-13.4
"Startup_318","SDM",30.37,32.25,95.9,-13.51
"Startup_319","Pemasaran",30.48,32.36,96.23,-13.62
"Startup_320","CRM",30.59,32.47,96.56,-13.73
"Startup_321","Proyek",30.7,32.58,96.89,-13.84
"Startup_322","Keuangan",30.81,32.69,97.22,-13.95
"Startup_323","SDM",30.92,32.8,97.55,-14.06
"Startup_324","Pemasaran",31.03,32.91,97.88,-14.17
"Startup_325","CRM",31.14,33.02,98.21,-14.28
"Startup_326","Proyek",31.25,33.13,98.54,-14.39
"Startup_327","Keuangan",31.36,33.24,98.87,-14.5
"Startup_328","SDM",31.47,33.35,99.2,-14.61
"Startup_329","Pemasaran",31.58,33.46,99.53,-14.72
"Startup_330","CRM",31.69,33.57,99.86,-14.83
"Startup_331","Proyek",31.8,33.68,100.19,-14.94
"Startup_332","Keuangan",31.91,33.79,100.52,-15.05
"Startup_333","SDM",32.02,33.9,100.85,-15.16
"Startup_334","Pemasaran",32.13,34.01,101.18,-15.27
"Startup_335","CRM",32.24,34.12,101.51,-15.38
"Startup_336","Proyek",32.35,34.23,101.84,-15.49
"Startup_337","Keuangan",32.46,34.34,102.17,-15.6
"Startup_338","SDM",32.57,34.45,102.5,-15.71
"Startup_339","Pemasaran",32.68,34.56,102.83,-15.82
"Startup_340","CRM",32.79,34.67,103.16,-15.93
"Startup_341","Proyek",32.9,34.78,103.49,-16.04
"Startup_342","Keuangan",33.01,34.89,103.82,-16.15
"Startup_343","SDM",33.12,35.0,104.15,-16.26
"Startup_344","Pemasaran",33.23,35.11,104.48,-16.37
"Startup_345","CRM",33.34,35.22,104.81,-16.48
"Startup_346","Proyek",33.45,35.33,105.14,-16.59
"Startup_347","Keuangan",33.56,35.44,105.47,-16.7
"Startup_348","SDM",33.67,35.55,105.8,-16.81
"Startup_349","Pemasaran",33.78,35.66,106.13,-16.92
"Startup_350","CRM",33.89,35.77,106.46,-17.03
"Startup_351","Proyek",34.0,35.88,106.79,-17.14
"Startup_352","Keuangan",34.11,35.99,107.12,-17.25
"Startup_353","SDM",34.22,36.1,107.45,-17.36
"Startup_354","Pemasaran",34.33,36.21,107.78,-17.47
"Startup_355","CRM",34.44,36.32,108.11,-17.58
"Startup_356","Proyek",34.55,36.43,108.44,-17.69
"Startup_357","Keuangan",34.66,36.54,108.77,-17.8
"Startup_358","SDM",34.77,36.65,109.1,-17.91
"Startup_359","Pemasaran",34.88,36.76,109.43,-18.02
"Startup_360","CRM",34.99,36.87,109.76,-18.13
"Startup_361","Proyek",35.1,36.98,110.09,-18.24
"Startup_362","Keuangan",35.21,37.09,110.42,-18.35
"Startup_363","SDM",35.32,37.2,110.75,-18.46
"Startup_364","Pemasaran",35.43,37.31,111.08,-18.57
"Startup_365","CRM",35.54,37.42,111.41,-18.68
"Startup_366","Proyek",35.65,37.53,111.74,-18.79
"Startup_367","Keuangan",35.76,37.64,112.07,-18.9
"Startup_368","SDM",35.87,37.75,112.4,-19.01
"Startup_369","Pemasaran",35.98,37.86,112.73,-19.12
"Startup_370","CRM",36.09,37.97,113.06,-19.23
"Startup_371","Proyek",36.2,38.08,113.39,-19.34
"Startup_372","Keuangan",36.31,38.19,113.72,-19.45
"Startup_373","SDM",36.42,38.3,114.05,-19.56
"Startup_374","Pemasaran",36.53,38.41,114.38,-19.67
"Startup_375","CRM",36.64,38.52,114.71,-19.78
"Startup_376","Proyek",36.75,38.63,115.04,-19.89
"Startup_377","Keuangan",36.86,38.74,115.37,-20.0
"Startup_378","SDM",36.97,38.85,115.7,-20.11
"Startup_379","Pemasaran",37.08,38.96,116.03,-20.22
"Startup_380","CRM",37.19,39.07,116.36,-20.33
"Startup_381","Proyek",37.3,39.18,116.69,-20.44
"Startup_382","Keuangan",37.41,39.29,117.02,-20.55
"Startup_383","SDM",37.52,39.4,117.35,-20.66
"Startup_384","Pemasaran",37.63,39.51,117.68,-20.77
"Startup_385","CRM",37.74,39.62,118.01,-20.88
"Startup_386","Proyek",37.85,39.73,118.34,-20.99
"Startup_387","Keuangan",37.96,39.84,118.67,-21.1
"Startup_388","SDM",38.07,39.95,119.0,-21.21
"Startup_389","Pemasaran",38.18,40.06,119.33,-21.32
"Startup_390","CRM",38.29,40.17,119.66,-21.43
"Startup_391","Proyek",38.4,40.28,119.99,-21.54
"Startup_392","Keuangan",38.51,40.39,120.32,-21.65
"Startup_393","SDM",38.62,40.5,120.65,-21.76
"Startup_394","Pemasaran",38.73,40.61,120.98,-21.87
"Startup_395","CRM",38.84,40.72,121.31,-21.98
"Startup_396","Proyek",38.95,40.83,121.64,-22.09
"Startup_397","Keuangan",39.06,40.94,121.97,-22.2
"Startup_398","SDM",39.17,41.05,122.3,-22.31
"Startup_399","Pemasaran",39.28,41.16,122.63,-22.42
"Startup_400","CRM",39.39,41.27,122.96,-22.53
"Startup_401","Proyek",39.5,41.38,123.29,-22.64
"Startup_402","Keuangan",39.61,41.49,123.62,-22.75
"Startup_403","SDM",39.72,41.6,123.95,-22.86
"Startup_404","Pemasaran",39.83,41.71,124.28,-22.97
"Startup_405","CRM",39.94,41.82,124.61,-23.08
"Startup_406","Proyek",40.05,41.93,124.94,-23.19
"Startup_407","Keuangan",40.16,42.04,125.27,-23.3
"Startup_408","SDM",40.27,42.15,125.6,-23.41
"Startup_409","Pemasaran",40.38,42.26,125.93,-23.52
"Startup_410","CRM",40.49,42.37,126.26,-23.63
"Startup_411","Proyek",40.6,42.48,126.59,-23.74
"Startup_412","Keuangan",40.71,42.59,126.92,-23.85
"Startup_413","SDM",40.82,42.7,127.25,-23.96
"Startup_414","Pemasaran",40.93,42.81,127.58,-24.07
"Startup_415","CRM",41.04,42.92,127.91,-24.18
"Startup_416","Proyek",41.15,43.03,128.24,-24.29
"Startup_417","Keuangan",41.26,43.14,128.57,-24.4
"Startup_418","SDM",41.37,43.25,128.9,-24.51
"Startup_419","Pemasaran",41.48,43.36,129.23,-24.62
"Startup_420","CRM",41.59,43.47,129.56,-24.73
"Startup_421","Proyek",41.7,43.58,129.89,-24.84
"Startup_422","Keuangan",41.81,43.69,130.22,-24.95
"Startup_423","SDM",41.92,43.8,130.55,-25.06
"Startup_424","Pemasaran",42.03,43.91,130.88,-25.17
"Startup_425","CRM",42.14,44.02,131.21,-25.28
"Startup_426","Proyek",42.25,44.13,131.54,-25.39
"Startup_427","Keuangan",42.36,44.24,131.87,-25.5
"Startup_428","SDM",42.47,44.35,132.2,-25.61
"Startup_429","Pemasaran",42.58,44.46,132.53,-25.72
"Startup_430","CRM",42.69,44.57,132.86,-25.83
"Startup_431","Proyek",42.8,44.68,133.19,-25.94
"Startup_432","Keuangan",42.91,44.79,133.52,-26.05
"Startup_433","SDM",43.02,44.9,133.85,-26.16
"Startup_434","Pemasaran",43.13,45.01,134.18,-26.27
"Startup_435","CRM",43.24,45.12,134.51,-26.38
"Startup_436","Proyek",43.35,45.23,134.84,-26.49
"Startup_437","Keuangan",43.46,45.34,135.17,-26.6
"Startup_438","SDM",43.57,45.45,135.5,-26.71
"Startup_439","Pemasaran",43.68,45.56,135.83,-26.82
"Startup_440","CRM",43.79,45.67,136.16,-26.93
"Startup_441","Proyek",43.9,45.78,136.49,-27.04
"Startup_442","Keuangan",44.01,45.89,136.82,-27.15
"Startup_443","SDM",44.12,46.0,137.15,-27.26
"Startup_444","Pemasaran",44.23,46.11,137.48,-27.37
"Startup_445","CRM",44.34,46.22,137.81,-27.48
"Startup_446","Proyek",44.45,46.33,138.14,-27.59
"Startup_447","Keuangan",44.56,46.44,138.47,-27.7
"Startup_448","SDM",44.67,46.55,138.8,-27.81
"Startup_449","Pemasaran",44.78,46.66,139.13,-27.92
"Startup_450","CRM",44.89,46.77,139.46,-28.03
"Startup_451","Proyek",45.0,46.88,139.79,-28.14
"Startup_452","Keuangan",45.11,46.99,140.12,-28.25
"Startup_453","SDM",45.22,47.1,140.45,-28.36
"Startup_454","Pemasaran",45.33,47.21,140.78,-28.47
"Startup_455","CRM",45.44,47.32,141.11,-28.58
"Startup_456","Proyek",45.55,47.43,141.44,-28.69
"Startup_457","Keuangan",45.66,47.54,141.77,-28.8
"Startup_458","SDM",45.77,47.65,142.1,-28.91
"Startup_459","Pemasaran",45.88,47.76,142.43,-29.02
"Startup_460","CRM",45.99,47.87,142.76,-29.13
"Startup_461","Proyek",46.1,47.98,143.09,-29.24
"Startup_462","Keuangan",46.21,48.09,143.42,-29.35
"Startup_463","SDM",46.32,48.2,143.75,-29.46
"Startup_464","Pemasaran",46.43,48.31,144.08,-29.57
"Startup_465","CRM",46.54,48.42,144.41,-29.68
"Startup_466","Proyek",46.65,48.53,144.74,-29.79
"Startup_467","Keuangan",46.76,48.64,145.07,-29.9
"Startup_468","SDM",46.87,48.75,145.4,-30.01
"Startup_469","Pemasaran",46.98,48.86,145.73,-30.12
"Startup_470","CRM",47.09,48.97,146.06,-30.23
"Startup_471","Proyek",47.2,49.08,146.39,-30.34
"Startup_472","Keuangan",47.31,49.19,146.72,-30.45
"Startup_473","SDM",47.42,49.3,147.05,-30.56
"Startup_474","Pemasaran",47.53,49.41,147.38,-30.67
"Startup_475","CRM",47.64,49.52,147.71,-30.78
"Startup_476","Proyek",47.75,49.63,148.04,-30.89
"Startup_477","Keuangan",47.86,49.74,148.37,-31.0
"Startup_478","SDM",47.97,49.85,148.7,-31.11
"Startup_479","Pemasaran",48.08,49.96,149.03,-31.22
